epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,68.4539,0.83463,0.79181,0.98976,0.61173,0.000332909,0.000332909,0.000332909
2,122.969,0.561,0.76792,1,0.63359,0.000653051,0.000653051,0.000653051
3,174.975,0.58054,0.82253,0.98976,0.50396,0.000959993,0.000959993,0.000959993
4,226.559,0.55377,0.79522,1,0.65722,0.0009406,0.0009406,0.0009406
5,285.251,0.50234,0.88396,1,0.32903,0.0009208,0.0009208,0.0009208
6,339.684,0.46627,0.88737,1,0.34937,0.000901,0.000901,0.000901
7,393.056,0.43311,0.87713,1,0.30238,0.0008812,0.0008812,0.0008812
8,456.492,0.40408,0.91468,0.99659,0.28358,0.0008614,0.0008614,0.0008614
9,507.047,0.38263,0.90785,1,0.22739,0.0008416,0.0008416,0.0008416
10,556.798,0.36172,0.91126,1,0.25896,0.0008218,0.0008218,0.0008218
11,606.759,0.32832,0.91126,1,0.20669,0.000802,0.000802,0.000802
12,656.54,0.31813,0.90444,0.99659,0.34878,0.0007822,0.0007822,0.0007822
13,706.514,0.29267,0.95904,0.99659,0.11705,0.0007624,0.0007624,0.0007624
14,755.972,0.28629,0.94881,0.99659,0.13739,0.0007426,0.0007426,0.0007426
15,805.838,0.27118,0.95222,1,0.11936,0.0007228,0.0007228,0.0007228
16,855.233,0.26213,0.98635,1,0.089,0.000703,0.000703,0.000703
17,905.373,0.24626,0.96928,1,0.07828,0.0006832,0.0006832,0.0006832
18,955.419,0.2353,0.95904,1,0.11176,0.0006634,0.0006634,0.0006634
19,1005.42,0.2246,0.95904,1,0.10884,0.0006436,0.0006436,0.0006436
20,1055.31,0.2101,0.96928,1,0.11176,0.0006238,0.0006238,0.0006238
21,1105.1,0.20677,0.96587,1,0.08332,0.000604,0.000604,0.000604
22,1155.12,0.19374,0.96587,1,0.0681,0.0005842,0.0005842,0.0005842
23,1204.99,0.18562,0.97611,1,0.07069,0.0005644,0.0005644,0.0005644
24,1255.2,0.17907,0.99317,1,0.03371,0.0005446,0.0005446,0.0005446
25,1304.94,0.17706,0.97952,1,0.06679,0.0005248,0.0005248,0.0005248
26,1354.6,0.16637,0.97952,1,0.04562,0.000505,0.000505,0.000505
27,1404.37,0.1605,0.98976,1,0.03457,0.0004852,0.0004852,0.0004852
28,1453.68,0.15067,0.98635,1,0.03548,0.0004654,0.0004654,0.0004654
29,1503.19,0.14234,0.97952,1,0.05564,0.0004456,0.0004456,0.0004456
30,1552.79,0.14335,0.98635,1,0.03784,0.0004258,0.0004258,0.0004258
31,1602.22,0.13027,0.98976,1,0.02204,0.000406,0.000406,0.000406
32,1651.45,0.12463,0.98294,1,0.07181,0.0003862,0.0003862,0.0003862
33,1700.92,0.121,0.99317,1,0.02087,0.0003664,0.0003664,0.0003664
34,1750.36,0.11745,0.99317,1,0.01462,0.0003466,0.0003466,0.0003466
35,1800.04,0.1125,0.99317,1,0.01844,0.0003268,0.0003268,0.0003268
36,1849.58,0.10547,0.99659,1,0.0236,0.000307,0.000307,0.000307
37,1899.07,0.10162,0.99659,1,0.01123,0.0002872,0.0002872,0.0002872
38,1948.62,0.09232,0.99317,1,0.01388,0.0002674,0.0002674,0.0002674
39,1998.19,0.08649,0.99659,1,0.01735,0.0002476,0.0002476,0.0002476
40,2047.96,0.08474,0.99317,1,0.06347,0.0002278,0.0002278,0.0002278
41,2132.47,0.0878,0.99659,1,0.02022,0.000208,0.000208,0.000208
42,2182.94,0.07665,0.99317,1,0.0188,0.0001882,0.0001882,0.0001882
43,2232.79,0.07223,0.99317,1,0.01847,0.0001684,0.0001684,0.0001684
44,2282.55,0.07087,0.99659,1,0.0186,0.0001486,0.0001486,0.0001486
45,2332.68,0.06978,0.99659,1,0.01742,0.0001288,0.0001288,0.0001288
46,2382.28,0.06517,0.99659,1,0.02108,0.000109,0.000109,0.000109
47,2432.15,0.06239,0.99659,1,0.01829,8.92e-05,8.92e-05,8.92e-05
48,2482.3,0.05826,0.98976,1,0.02115,6.94e-05,6.94e-05,6.94e-05
49,2532.1,0.05551,0.98976,1,0.0219,4.96e-05,4.96e-05,4.96e-05
50,2582.63,0.05088,0.99317,1,0.02339,2.98e-05,2.98e-05,2.98e-05
