epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2381,0.96669,3.61641,1.16897,0.00503,0.41621,0.1041,0.07046,0.55674,3.52822,0.9124,7.5e-05,7.5e-05,7.5e-05
2,68.021,0.89735,3.22637,1.01898,0.02,0.95,0.38942,0.28309,0.69459,3.23552,0.88398,0.000159282,0.000159282,0.000159282
3,104.166,1.02967,2.87031,1.0827,0.01615,1,0.3796,0.28012,0.7359,3.18901,0.87615,0.0002401,0.0002401,0.0002401
4,137.875,1.00737,2.68675,1.07212,0.01334,1,0.37072,0.29199,0.7007,3.12441,0.87822,0.000317452,0.000317452,0.000317452
5,174.615,0.969,2.40934,1.06837,0.01277,1,0.47165,0.37232,0.73435,3.08243,0.90872,0.00039134,0.00039134,0.00039134
6,208.341,0.96858,2.13717,1.07978,0.01284,1,0.47684,0.38622,0.68866,2.99494,0.89302,0.000461763,0.000461763,0.000461763
7,245.212,1.01898,1.93608,1.1329,0.01323,1,0.53186,0.4052,0.78506,2.97307,0.94391,0.00052872,0.00052872,0.00052872
8,279.915,1.01283,1.74056,1.12192,0.53722,0.24975,0.5659,0.44773,0.78861,2.88786,0.93708,0.000592213,0.000592213,0.000592213
9,315.675,0.96593,1.60914,1.12084,0.92118,0.27235,0.64112,0.52172,0.78201,2.70208,0.93729,0.00065224,0.00065224,0.00065224
10,349.634,0.92099,1.43344,1.0969,0.6944,0.38547,0.71083,0.55117,0.79484,2.55222,0.95496,0.000708803,0.000708803,0.000708803
11,386.679,0.92166,1.37809,1.06513,0.6608,0.50404,0.73117,0.55826,0.86771,2.40733,0.96267,0.0007619,0.0007619,0.0007619
12,421.257,0.93505,1.31322,1.08613,0.74736,0.61615,0.73637,0.53285,0.78761,2.52886,0.93775,0.000811533,0.000811533,0.000811533
13,457.271,0.87403,1.23727,1.05814,0.77105,0.53588,0.71623,0.56811,0.75612,2.44571,0.93693,0.0008577,0.0008577,0.0008577
14,491.974,0.90408,1.28634,1.05784,0.7804,0.70374,0.83393,0.67816,0.76796,2.04073,0.96726,0.000900402,0.000900402,0.000900402
15,528.358,0.90439,1.25145,1.06761,0.79404,0.68782,0.79153,0.64014,0.69968,1.91982,0.92797,0.0009035,0.0009035,0.0009035
16,565.198,0.91494,1.18042,1.07328,0.81608,0.90579,0.91557,0.7639,0.7671,1.38362,0.96338,0.00087875,0.00087875,0.00087875
17,599.889,0.90696,1.11453,1.07773,0.82841,0.7818,0.89687,0.74602,0.7105,1.47693,0.95238,0.000854,0.000854,0.000854
18,634.557,0.8957,1.1266,1.06804,0.9226,0.85781,0.96148,0.81085,0.65686,1.22515,0.92445,0.00082925,0.00082925,0.00082925
19,672.468,0.82202,0.99657,1.01576,0.83231,0.85301,0.94546,0.8097,0.63712,1.34944,0.9039,0.0008045,0.0008045,0.0008045
20,707.934,0.82902,1.04369,1.02638,0.81029,0.86273,0.95067,0.78897,0.72799,1.32453,0.92435,0.00077975,0.00077975,0.00077975
21,741.712,0.85473,1.00364,1.0503,0.73082,0.85585,0.89579,0.74319,0.71635,1.48502,0.92807,0.000755,0.000755,0.000755
22,778.459,0.84154,0.95235,1.03324,0.94838,0.9359,0.97905,0.83574,0.64686,1.09202,0.89897,0.00073025,0.00073025,0.00073025
23,813.27,0.78746,0.91218,1.01824,0.91524,0.95966,0.96552,0.84452,0.61184,1.03092,0.8981,0.0007055,0.0007055,0.0007055
24,850.853,0.78568,0.90065,1.00969,0.87057,0.90249,0.93988,0.79933,0.62996,1.10871,0.94854,0.00068075,0.00068075,0.00068075
25,884.389,0.83028,0.93587,1.03059,0.91252,0.88455,0.94957,0.82179,0.58255,1.0224,0.90512,0.000656,0.000656,0.000656
26,921.514,0.8232,0.86141,1.02574,0.91441,0.94293,0.97945,0.88062,0.57725,0.87775,0.88572,0.00063125,0.00063125,0.00063125
27,957.013,0.83764,0.88137,1.04849,0.95542,0.99,0.98587,0.88191,0.54337,0.84418,0.8829,0.0006065,0.0006065,0.0006065
28,995.403,0.79096,0.85879,1.03178,0.83184,0.88423,0.96085,0.86209,0.55556,1.03246,0.88468,0.00058175,0.00058175,0.00058175
