epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.713,1.00529,2.99268,1.1598,0.30202,0.69449,0.4528,0.39037,0.6497,2.9546,1.00076,0.0001125,0.0001125,0.0001125
2,211.962,0.82878,3.53114,0.98588,0.85534,0.68848,0.84245,0.68377,0.68273,1.79206,0.94537,0.000232798,0.000232798,0.000232798
3,308.136,0.84706,1.43336,1.04989,0.53856,0.89909,0.81747,0.67818,0.63145,1.86635,0.97109,0.000348145,0.000348145,0.000348145
4,404.054,0.93881,1.36348,1.08566,0.75677,0.68065,0.83213,0.71007,0.63421,1.52909,0.95148,0.000458542,0.000458542,0.000458542
5,544.475,0.93441,1.06663,1.12093,0.63474,0.69794,0.68953,0.56669,0.71493,1.65441,0.992,0.00056399,0.00056399,0.00056399
6,664.113,0.90005,0.95299,1.11421,0.89119,0.80758,0.89477,0.68942,0.79028,1.20987,1.13603,0.000664488,0.000664488,0.000664488
7,770.641,0.87011,0.87623,1.06591,0.73947,0.67599,0.76399,0.5634,0.82883,1.33351,1.19342,0.000760035,0.000760035,0.000760035
8,877.87,0.8874,0.86142,1.08293,0.79509,0.73301,0.80334,0.60614,0.91136,1.37795,1.20153,0.000850632,0.000850632,0.000850632
9,975.478,0.80497,0.78927,1.06102,0.91247,0.76617,0.91327,0.72803,0.7523,0.88157,1.08537,0.00093628,0.00093628,0.00093628
10,1126.33,0.90964,0.85699,1.15263,0.60066,0.75742,0.77226,0.55773,0.90097,1.14026,1.24588,0.00101698,0.00101698,0.00101698
11,1272.96,0.91636,0.88426,1.08552,0.89737,0.75477,0.83995,0.62067,0.88141,1.1995,1.21339,0.0010025,0.0010025,0.0010025
12,1410.26,0.81392,0.65341,1.0388,0.83916,0.76846,0.88029,0.71478,0.83095,1.11537,1.20266,0.00097775,0.00097775,0.00097775
13,1527.12,0.80109,0.68763,1.05736,0.95039,0.90409,0.95112,0.78043,0.73011,0.75316,1.09061,0.000953,0.000953,0.000953
14,1618.94,0.72275,0.59426,0.98771,0.8775,0.93,0.95525,0.80774,0.74664,0.71649,1.09104,0.00092825,0.00092825,0.00092825
15,1719.46,0.78891,0.63156,1.02919,0.8389,0.90852,0.93434,0.76951,0.67423,0.76847,0.99068,0.0009035,0.0009035,0.0009035
16,1820.43,0.73121,0.56516,1.02097,0.94519,0.93508,0.93686,0.80536,0.59977,0.58809,0.94718,0.00087875,0.00087875,0.00087875
17,1910.19,0.92294,0.64301,1.10118,0.90128,0.83136,0.91933,0.75578,0.60376,0.87582,0.95353,0.000854,0.000854,0.000854
18,2011.96,0.7646,0.62579,1.02396,0.87414,0.89079,0.91315,0.75217,0.62344,0.73818,0.97788,0.00082925,0.00082925,0.00082925
19,2096.77,0.7188,0.55325,1.0123,0.8473,0.82815,0.89712,0.71059,0.69748,0.81583,1.03835,0.0008045,0.0008045,0.0008045
20,2200.14,0.74128,0.69696,1.01499,0.91578,0.86256,0.93982,0.73419,0.76829,0.73019,1.07435,0.00077975,0.00077975,0.00077975
21,2300.09,0.7238,0.52369,1.01217,0.90813,0.98113,0.98188,0.8418,0.57365,0.5334,0.94292,0.000755,0.000755,0.000755
22,2392.1,0.66711,0.50524,1.00223,0.94136,0.99663,0.99269,0.83936,0.58594,0.41467,0.95804,0.00073025,0.00073025,0.00073025
23,2493.02,0.78486,0.52377,1.03612,0.9166,0.99314,0.99278,0.86856,0.58287,0.42815,0.93886,0.0007055,0.0007055,0.0007055
24,2586.35,0.74879,0.56549,1.03887,0.92215,0.95991,0.93807,0.80882,0.5843,0.59477,0.95848,0.00068075,0.00068075,0.00068075
25,2685.66,0.70566,0.50583,1.00576,0.88268,0.94084,0.96004,0.8529,0.56234,0.53626,0.92241,0.000656,0.000656,0.000656
26,2778.45,0.68292,0.5014,0.99527,0.95127,0.94395,0.97747,0.87189,0.56003,0.44873,0.92128,0.00063125,0.00063125,0.00063125
27,2878.78,0.66432,0.4857,0.99266,0.95359,0.97727,0.97788,0.86713,0.53253,0.43831,0.91712,0.0006065,0.0006065,0.0006065
28,36563.8,0.67834,0.45249,0.9995,0.96226,0.97727,0.98864,0.88469,0.55051,0.44575,0.91711,0.00058175,0.00058175,0.00058175
29,36662,0.68917,0.45972,1.00796,0.9421,0.95534,0.98397,0.87917,0.53547,0.43871,0.90215,0.000557,0.000557,0.000557
30,36743.2,0.66472,0.456,0.99625,0.93825,0.95778,0.97184,0.85757,0.54655,0.50143,0.91699,0.00053225,0.00053225,0.00053225
31,36841.5,0.65532,0.44347,0.99449,0.94755,0.96514,0.98202,0.87731,0.52976,0.44125,0.89405,0.0005075,0.0005075,0.0005075
32,36937,0.65293,0.46803,1.00669,0.96052,0.99,0.98408,0.88405,0.49618,0.38035,0.88587,0.00048275,0.00048275,0.00048275
33,37035.6,0.68553,0.45677,0.98366,0.96206,0.99,0.98706,0.88167,0.51708,0.38494,0.8867,0.000458,0.000458,0.000458
34,37121.1,0.64186,0.43466,0.98737,0.97581,0.98402,0.99385,0.90831,0.48842,0.32963,0.88407,0.00043325,0.00043325,0.00043325
35,37203.3,0.60606,0.40866,0.95661,0.97704,0.97727,0.9862,0.89142,0.48872,0.34012,0.88716,0.0004085,0.0004085,0.0004085
36,37299.4,0.62997,0.39571,0.97263,0.98079,0.97727,0.98543,0.88531,0.48503,0.34216,0.87783,0.00038375,0.00038375,0.00038375
37,37397.3,0.64303,0.42303,0.99771,0.98267,0.97727,0.98595,0.88652,0.47067,0.36626,0.87022,0.000359,0.000359,0.000359
38,37526,0.58638,0.39292,0.94582,0.95823,0.96791,0.98923,0.89399,0.49476,0.3971,0.87449,0.00033425,0.00033425,0.00033425
39,37653.1,0.60767,0.38109,0.96213,0.95719,0.97027,0.9852,0.8828,0.51663,0.39467,0.88721,0.0003095,0.0003095,0.0003095
40,37757.9,0.73242,0.42547,1.10172,0.95994,0.97027,0.99018,0.89167,0.51408,0.37157,0.88603,0.00028475,0.00028475,0.00028475
41,37884.4,0.566,0.34741,0.94086,0.98233,0.97727,0.99018,0.92152,0.46672,0.32819,0.86176,0.00026,0.00026,0.00026
42,37962.1,0.47472,0.30655,0.86706,0.98435,0.97727,0.98202,0.91024,0.43198,0.33067,0.84701,0.00023525,0.00023525,0.00023525
43,38053.9,0.44857,0.2995,0.86211,0.98783,0.97727,0.98281,0.91418,0.41713,0.30596,0.84226,0.0002105,0.0002105,0.0002105
44,38140.7,0.4427,0.30478,0.86461,0.97022,0.97727,0.98202,0.92127,0.43327,0.30878,0.84681,0.00018575,0.00018575,0.00018575
45,38232.3,0.43234,0.28322,0.86928,0.94903,0.96157,0.98864,0.92437,0.4555,0.33493,0.85873,0.000161,0.000161,0.000161
46,38313.6,0.44227,0.29896,0.87429,0.95039,0.95933,0.98182,0.91101,0.4488,0.33837,0.85811,0.00013625,0.00013625,0.00013625
47,38400.1,0.45556,0.31831,0.89447,0.95056,0.96457,0.99154,0.9291,0.44003,0.3259,0.85514,0.0001115,0.0001115,0.0001115
48,38489.4,0.41543,0.28644,0.86273,0.97429,0.97539,0.99154,0.9331,0.43435,0.29715,0.84717,8.675e-05,8.675e-05,8.675e-05
49,38568.2,0.41472,0.26346,0.84959,0.97891,0.97727,0.99313,0.94697,0.42803,0.29468,0.84304,6.2e-05,6.2e-05,6.2e-05
50,38654.4,0.42003,0.27688,0.8703,0.98692,0.97727,0.99313,0.94668,0.4177,0.29457,0.84013,3.725e-05,3.725e-05,3.725e-05
