epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.847,1.33646,3.42654,1.31852,0.01663,0.96686,0.32248,0.18689,0.6371,3.64953,0.91712,0.0002125,0.0002125,0.0002125
2,299.852,1.32097,2.73647,1.30108,0.0123,0.83266,0.36019,0.11624,0.97894,3.69379,1.11666,0.000435334,0.000435334,0.000435334
3,442.845,1.36628,2.24069,1.37742,0.75698,0.13238,0.31127,0.07948,1.39961,3.36702,1.50537,0.000655941,0.000655941,0.000655941
4,551.579,1.32279,1.88861,1.35477,0.5379,0.47619,0.54809,0.19513,1.86398,2.82632,1.62974,0.000874321,0.000874321,0.000874321
5,685.751,1.33105,1.67412,1.33593,0.52297,0.54207,0.53849,0.23289,1.44102,2.39683,1.50745,0.00109047,0.00109047,0.00109047
6,821.566,1.29098,1.57415,1.34524,0.5688,0.56235,0.60895,0.22138,1.87467,2.3316,1.84275,0.00121906,0.00121906,0.00121906
7,959.247,1.27502,1.47146,1.3181,0.68117,0.73216,0.78395,0.5824,0.85516,1.52372,1.10908,0.00121287,0.00121287,0.00121287
8,1094,1.24056,1.33659,1.29397,0.60616,0.74972,0.72071,0.5571,0.78909,1.63586,1.06578,0.00120669,0.00120669,0.00120669
9,1227.66,1.20337,1.24814,1.28453,0.57951,0.7315,0.75001,0.36953,1.73162,1.49625,1.74905,0.0012005,0.0012005,0.0012005
10,1361.45,1.22923,1.25791,1.30662,0.83942,0.86628,0.90894,0.58076,1.15428,1.24059,1.23429,0.00119431,0.00119431,0.00119431
11,1494.45,1.16478,1.1824,1.27601,0.80926,0.86639,0.89261,0.63855,1.08101,1.14361,1.15378,0.00118812,0.00118812,0.00118812
12,1628.07,1.16989,1.10093,1.28167,0.85598,0.86666,0.89698,0.74256,0.70237,1.05814,0.98441,0.00118194,0.00118194,0.00118194
13,1762.37,1.19036,1.10707,1.3051,0.87111,0.82546,0.88833,0.68727,0.8283,0.89874,1.02497,0.00117575,0.00117575,0.00117575
14,1896.54,1.14873,1.02105,1.26195,0.89452,0.7839,0.90608,0.7216,0.74081,1.37826,0.97669,0.00116956,0.00116956,0.00116956
15,2030.58,1.17157,1.07308,1.28798,0.83359,0.92025,0.95768,0.75415,0.6807,0.83277,0.97125,0.00116337,0.00116337,0.00116337
16,2164.21,1.12168,1.01421,1.25528,0.88648,0.86044,0.92927,0.79476,0.65183,0.85936,0.9744,0.00115719,0.00115719,0.00115719
17,2294.98,1.10145,0.9599,1.2444,0.8164,0.88091,0.89682,0.75087,0.67296,0.79192,0.99807,0.001151,0.001151,0.001151
18,2426.36,1.12806,0.98115,1.25759,0.81365,0.74364,0.81676,0.69453,0.6508,1.0761,0.97931,0.00114481,0.00114481,0.00114481
19,2557.39,1.10231,0.92315,1.25288,0.63473,0.44046,0.52695,0.21703,2.07187,3.29637,1.94136,0.00113863,0.00113863,0.00113863
20,2688.35,1.04917,0.86816,1.22684,0.9253,0.9594,0.97552,0.84711,0.57246,0.61955,0.91453,0.00113244,0.00113244,0.00113244
21,2820,1.04576,0.8565,1.20941,0.85171,0.85643,0.89199,0.74868,0.63503,0.68702,0.94907,0.00112625,0.00112625,0.00112625
22,2951.49,1.06428,0.87873,1.2569,0.91105,0.92886,0.95515,0.74742,0.75408,0.71552,0.97768,0.00112006,0.00112006,0.00112006
23,3082.26,1.08979,0.84286,1.21175,0.88513,0.90255,0.94239,0.78129,0.64917,0.66716,0.94819,0.00111388,0.00111388,0.00111388
24,3214.07,1.02598,0.81096,1.19437,0.90465,0.97929,0.97715,0.84172,0.57625,0.57218,0.91458,0.00110769,0.00110769,0.00110769
25,3344.65,1.02352,0.79272,1.20608,0.94287,0.92736,0.95301,0.82199,0.58744,0.55721,0.94869,0.0011015,0.0011015,0.0011015
26,3475.91,1.04924,0.79899,1.2246,0.92976,0.86989,0.91963,0.64758,1.04079,0.79943,1.14328,0.00109531,0.00109531,0.00109531
27,3607.71,1.02593,0.77552,1.21698,0.97037,0.95427,0.98721,0.76777,0.7963,0.5915,1.00854,0.00108913,0.00108913,0.00108913
28,3738.83,0.99943,0.74156,1.17625,0.9373,0.8848,0.97263,0.76579,0.78107,0.64311,1.00301,0.00108294,0.00108294,0.00108294
29,3870.09,1.03504,0.76015,1.22043,0.88767,0.90295,0.93779,0.80858,0.57209,0.60399,0.92351,0.00107675,0.00107675,0.00107675
30,4001.77,1.01606,0.70733,1.19934,0.94196,0.92141,0.97525,0.83745,0.58591,0.55493,0.93252,0.00107056,0.00107056,0.00107056
31,4133.92,1.0126,0.71132,1.18802,0.81799,0.80722,0.84717,0.72894,0.65903,0.89203,1.03453,0.00106437,0.00106437,0.00106437
32,4265.4,0.98508,0.71371,1.19477,0.78784,0.87497,0.90412,0.69541,0.87863,0.68028,1.0695,0.00105819,0.00105819,0.00105819
33,4397.53,0.97657,0.70048,1.18342,0.83269,0.9506,0.95209,0.83081,0.54729,0.53525,0.91226,0.001052,0.001052,0.001052
34,4529.08,0.9825,0.7094,1.17657,0.91585,0.89202,0.95224,0.82202,0.5926,0.52072,0.93688,0.00104581,0.00104581,0.00104581
35,4660.93,0.97307,0.68693,1.16847,0.91503,0.9623,0.97187,0.86023,0.5106,0.47682,0.89598,0.00103962,0.00103962,0.00103962
36,4790.89,0.95583,0.67263,1.17839,0.97377,0.94782,0.97349,0.86075,0.55466,0.47549,0.91291,0.00103344,0.00103344,0.00103344
37,4921.42,0.99495,0.71433,1.17432,0.93379,0.94263,0.96106,0.84306,0.53259,0.48916,0.89823,0.00102725,0.00102725,0.00102725
38,5050.93,0.90977,0.65507,1.12068,0.97159,0.93753,0.98407,0.8631,0.52405,0.44472,0.8853,0.00102106,0.00102106,0.00102106
39,5180.92,0.93419,0.66117,1.15564,0.97366,0.94625,0.97308,0.84286,0.58389,0.45481,0.92089,0.00101488,0.00101488,0.00101488
40,5311.62,0.90788,0.60833,1.13364,0.97287,0.92194,0.97654,0.84693,0.52233,0.45533,0.90959,0.00100869,0.00100869,0.00100869
41,5441.83,0.92993,0.60889,1.17128,0.90909,0.96033,0.96319,0.82863,0.56921,0.49202,0.93589,0.0010025,0.0010025,0.0010025
42,5572.49,1.00642,0.64793,1.19713,0.9618,0.88973,0.95713,0.82662,0.58086,0.49791,0.91604,0.000996313,0.000996313,0.000996313
