epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,451.877,1.50225,2.43389,1.63154,0.55554,0.74759,0.69855,0.41575,1.27871,2.15191,1.31248,0.0002875,0.0002875,0.0002875
2,863.329,1.47339,1.53398,1.56777,0.58626,0.66265,0.50061,0.24025,1.72625,4.65642,1.96771,0.000581684,0.000581684,0.000581684
3,1258.36,1.48439,1.37562,1.5862,0.43927,0.48281,0.3535,0.09354,2.73285,34.669,4.62322,0.000869928,0.000869928,0.000869928
4,1616.36,1.48515,1.27893,1.60207,0.33622,0.47449,0.32559,0.10736,2.71835,8.10538,4.83745,0.00115223,0.00115223,0.00115223
5,2002.39,1.4579,1.2391,1.54144,0.5076,0.59087,0.63421,0.35248,2.02406,3.08697,2.32499,0.0012005,0.0012005,0.0012005
6,2397.54,1.40468,1.18104,1.50608,0.32629,0.05573,0.03171,0.0107,3.66606,5.54685,5.30465,0.00118812,0.00118812,0.00118812
7,2802.6,1.38359,1.1345,1.49836,0.70177,0.69501,0.73138,0.52781,1.02477,1.73339,1.43134,0.00117575,0.00117575,0.00117575
8,3189.4,1.30927,1.08681,1.44327,0.65315,0.71178,0.74726,0.4499,1.55803,1.33292,1.8113,0.00116337,0.00116337,0.00116337
9,3593.67,1.33473,0.99179,1.44845,0.78393,0.87685,0.88965,0.52836,1.34557,1.00777,1.46862,0.001151,0.001151,0.001151
10,3995.68,1.30396,1.0018,1.44785,0.83417,0.80588,0.90867,0.69085,0.82744,0.92554,1.1324,0.00113863,0.00113863,0.00113863
11,4386.39,1.31057,0.92112,1.4331,0.63847,0.72669,0.72034,0.57911,0.66518,0.86285,1.05914,0.00112625,0.00112625,0.00112625
12,4833.84,1.26574,0.90938,1.422,0.64551,0.75662,0.7598,0.36087,2.35053,1.73946,2.66329,0.00111388,0.00111388,0.00111388
13,5280.66,1.22341,0.86089,1.38067,0.69461,0.52792,0.55883,0.42255,1.88277,7.43704,2.16888,0.0011015,0.0011015,0.0011015
14,5742.41,1.16926,0.83499,1.35244,0.77863,0.81549,0.85585,0.71187,0.57781,0.63589,1.00718,0.00108913,0.00108913,0.00108913
15,6193.91,1.18693,0.79371,1.35923,0.77437,0.77992,0.85283,0.67689,0.63018,0.65598,1.03126,0.00107675,0.00107675,0.00107675
16,6653,1.16439,0.82228,1.34849,0.80234,0.94671,0.93733,0.74071,1.00353,0.89289,1.42999,0.00106437,0.00106437,0.00106437
17,7097.63,1.11659,0.78863,1.33097,0.69491,0.93628,0.88887,0.73362,0.5717,0.63647,0.9797,0.001052,0.001052,0.001052
18,7503.78,1.13126,0.75546,1.32955,0.70354,0.83906,0.84833,0.66003,0.92816,0.63722,1.17736,0.00103962,0.00103962,0.00103962
19,7945.52,1.15538,0.76701,1.3287,0.8408,0.823,0.8914,0.70452,0.86186,0.97318,1.18223,0.00102725,0.00102725,0.00102725
20,8425.24,1.06303,0.71662,1.27962,0.67673,0.79722,0.79586,0.65614,0.85765,1.10925,1.184,0.00101488,0.00101488,0.00101488
21,8889.3,1.06388,0.6846,1.26537,0.91938,0.90892,0.935,0.79855,0.49914,0.41157,0.96308,0.0010025,0.0010025,0.0010025
22,9335.6,1.06266,0.70054,1.27485,0.87902,0.93979,0.9195,0.76978,0.54587,0.46429,0.95744,0.000990125,0.000990125,0.000990125
