epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,427.694,0.80436,0.47628,1.12771,0.95566,0.99423,0.98844,0.88758,0.4385,0.27252,0.89367,0.0002875,0.0002875,0.0002875
2,834.076,0.83343,0.47147,1.13147,0.93561,0.9558,0.98112,0.85078,0.44304,0.29266,0.90043,0.000581684,0.000581684,0.000581684
3,1203.74,0.87579,0.52345,1.16711,0.95564,0.94338,0.98548,0.84898,0.58799,0.38371,0.99433,0.000869928,0.000869928,0.000869928
4,1565.22,0.9255,0.55008,1.1827,0.91169,0.86718,0.91522,0.76037,0.49272,0.62803,0.95903,0.00115223,0.00115223,0.00115223
5,1960.62,0.88628,0.57585,1.16085,0.86101,0.85954,0.90351,0.74797,0.58456,0.69491,1.02837,0.0012005,0.0012005,0.0012005
6,2351.26,0.92971,0.57661,1.17887,0.92236,0.89556,0.94628,0.76132,0.59618,0.39392,0.97578,0.00118812,0.00118812,0.00118812
7,2755.19,0.94788,0.56947,1.19891,0.91766,0.9293,0.94809,0.83057,0.51712,0.40272,0.91955,0.00117575,0.00117575,0.00117575
8,3165.69,0.95988,0.59785,1.21607,0.91631,0.96124,0.95072,0.80579,0.62993,0.4133,1.02009,0.00116337,0.00116337,0.00116337
9,3566.6,0.93032,0.57929,1.18332,0.89579,0.94395,0.97388,0.83482,0.57258,0.4102,0.95406,0.001151,0.001151,0.001151
10,3964.58,0.95187,0.5808,1.20119,0.94104,0.95417,0.94878,0.62428,0.98676,0.44624,1.14772,0.00113863,0.00113863,0.00113863
11,4359.47,1.03597,0.60701,1.24867,0.94477,0.93032,0.94347,0.81872,0.53185,0.4088,0.92898,0.00112625,0.00112625,0.00112625
12,4741.94,0.92853,0.56753,1.19487,0.96946,0.89631,0.93707,0.70367,0.89946,0.43853,1.11337,0.00111388,0.00111388,0.00111388
13,5138.02,0.92916,0.54294,1.18465,0.86923,0.81301,0.85635,0.71836,0.54043,1.24688,0.99243,0.0011015,0.0011015,0.0011015
14,5520.5,0.8767,0.50699,1.15408,0.93653,0.94189,0.96768,0.86927,0.50297,0.35543,0.96002,0.00108913,0.00108913,0.00108913
15,5915.81,0.89252,0.53183,1.17782,0.93731,0.93577,0.96469,0.85809,0.47775,0.34762,0.92076,0.00107675,0.00107675,0.00107675
16,6297.77,0.89296,0.56471,1.17133,0.94748,0.93428,0.95862,0.84709,0.4993,0.3655,0.93964,0.00106437,0.00106437,0.00106437
17,6699.75,0.89662,0.5547,1.18898,0.90379,0.9515,0.93494,0.78598,0.50731,0.55825,0.94599,0.001052,0.001052,0.001052
18,7092.73,0.87824,0.53206,1.17083,0.885,0.93054,0.94127,0.79394,0.53858,0.52588,0.95933,0.00103962,0.00103962,0.00103962
19,7486.97,0.87662,0.52289,1.15866,0.90913,0.92946,0.9485,0.82968,0.52658,0.4215,0.96527,0.00102725,0.00102725,0.00102725
20,7871.98,0.87369,0.54626,1.15197,0.95569,0.98942,0.98463,0.85727,0.47757,0.29274,0.917,0.00101488,0.00101488,0.00101488
21,8267.79,0.89013,0.53241,1.15302,0.97743,0.96927,0.97858,0.87762,0.47194,0.32003,0.93759,0.0010025,0.0010025,0.0010025
22,8649.62,0.84745,0.51579,1.14109,0.97413,0.96888,0.98536,0.85756,0.48869,0.29158,0.90971,0.000990125,0.000990125,0.000990125
23,9051.4,0.88513,0.5307,1.18584,0.95754,0.96042,0.98635,0.82775,0.5802,0.3565,0.9398,0.00097775,0.00097775,0.00097775
24,9437.59,0.84656,0.50822,1.1342,0.97151,0.97307,0.98239,0.82638,0.70376,0.38104,1.00447,0.000965375,0.000965375,0.000965375
25,9825.95,0.8326,0.51826,1.14499,0.92656,0.91928,0.9546,0.83734,0.57236,0.39218,0.98593,0.000953,0.000953,0.000953
26,10214.7,0.87203,0.50256,1.15411,0.94507,0.92637,0.97658,0.82144,0.65787,0.40774,0.98957,0.000940625,0.000940625,0.000940625
27,10603.2,0.82264,0.49265,1.1414,0.93747,0.92688,0.97401,0.84777,0.48746,0.31235,0.91022,0.00092825,0.00092825,0.00092825
28,10988.4,0.8502,0.48197,1.13649,0.95034,0.98273,0.98326,0.87562,0.42425,0.29009,0.91828,0.000915875,0.000915875,0.000915875
29,11390.5,0.85938,0.50341,1.15958,0.90708,0.9792,0.96863,0.85724,0.44029,0.33802,0.90642,0.0009035,0.0009035,0.0009035
30,11790.1,0.81126,0.47495,1.11649,0.9585,0.98523,0.99069,0.8715,0.4474,0.40751,0.9072,0.000891125,0.000891125,0.000891125
31,12196.6,0.80702,0.47897,1.13179,0.95692,0.97173,0.9875,0.89081,0.51672,0.33563,0.9175,0.00087875,0.00087875,0.00087875
32,12579.5,0.80859,0.47723,1.12618,0.95196,0.97507,0.98678,0.90149,0.44939,0.33129,0.90175,0.000866375,0.000866375,0.000866375
33,12974.6,0.79802,0.47337,1.11747,0.92127,0.97896,0.97832,0.86831,0.50533,0.32491,0.95596,0.000854,0.000854,0.000854
34,13356.3,0.82019,0.50285,1.13348,0.95663,0.94929,0.98023,0.88104,0.43663,0.2944,0.91617,0.000841625,0.000841625,0.000841625
35,13760.6,0.80895,0.48846,1.13993,0.97902,0.96175,0.96472,0.88253,0.42339,0.29189,0.90202,0.00082925,0.00082925,0.00082925
36,14142.7,0.79167,0.48608,1.11633,0.94368,0.96578,0.96997,0.8484,0.57475,0.31776,0.94212,0.000816875,0.000816875,0.000816875
37,15159.2,0.79292,0.47582,1.12061,0.96287,0.93824,0.98584,0.88118,0.4587,0.34158,0.89558,0.0008045,0.0008045,0.0008045
38,15538.1,0.75634,0.46777,1.08306,0.97573,0.96908,0.98998,0.85195,0.60748,0.32093,0.98239,0.000792125,0.000792125,0.000792125
39,15930.4,0.7521,0.43944,1.08401,0.97542,0.98046,0.98937,0.88388,0.48014,0.2685,0.91335,0.00077975,0.00077975,0.00077975
40,16305.8,0.7877,0.44264,1.10302,0.9115,0.9766,0.98242,0.89899,0.42736,0.35315,0.88638,0.000767375,0.000767375,0.000767375
41,16694.6,0.82035,0.48029,1.1585,0.96232,0.99504,0.98831,0.86316,0.49914,0.27552,0.91248,0.000755,0.000755,0.000755
42,17083.3,0.76417,0.46201,1.08558,0.97689,0.9903,0.98927,0.91162,0.47082,0.26395,0.91507,0.000742625,0.000742625,0.000742625
43,17475,0.76036,0.44834,1.09216,0.97067,0.99309,0.9881,0.9053,0.38075,0.24132,0.87682,0.00073025,0.00073025,0.00073025
44,17849.4,0.73906,0.44253,1.08476,0.98368,0.9814,0.98501,0.91159,0.41467,0.26089,0.89569,0.000717875,0.000717875,0.000717875
45,18239.8,0.80956,0.44697,1.14388,0.93188,0.96806,0.9748,0.89968,0.40947,0.27524,0.87836,0.0007055,0.0007055,0.0007055
